Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
56 /RM/ads/adstream_lx.ads/www.wp.pl/index.html/L20/1575628087/x55/OasDefault/93419_209827_bonprix_EcLarge_01/80618_182947_Bonprix_EcLarge_01585352585354585647597500597671599295610257643493645319648190649400650983.html/572b63595731616a6851454144755847,6,77,65,98,"13,98","0,00%",",3","0,14","492,0"
57 /_1453557629498/rexdot.js,6,113,80,140,"19,47","0,00%",",3","0,36","1279,0"
58 /r3594893559/clk.gif,6,84,61,121,"18,94","0,00%",",3","0,51","1807,0"
59 /r0969628995/dot.gif,6,133,52,302,"80,04","0,00%",",3","0,60","2150,0"
60 /,6,652,276,1186,"340,83","0,00%",",3","7,08","25988,8"
65 /a/i/stg/gfk/sst_100.js,6,99,37,142,"34,36","0,00%",",3","0,27","946,0"
"64 /a/i/stg/550/3323,984.css",6,66,47,93,"15,23","0,00%",",3","2,05","7193,0"
63 /a/i/wpsocialadmin/1.3/wpsocial.js,6,127,46,382,"117,21","0,00%",",3","2,86","10012,0"
67 /a/i/wiadomosci/favicon/favicon-160x160.png,5,94,56,196,"53,04","0,00%","3,6","39,15","11057,0"
69 /a/i/wiadomosci/favicon/favicon-16x16.png,5,47,31,62,"13,53","0,00%","3,5","4,39","1298,0"
70 /a/i/wiadomosci/favicon/favicon-32x32.png,5,51,31,70,"13,65","0,00%","3,4","6,61","1990,0"
68 /a/i/wiadomosci/favicon/favicon-96x96.png,5,68,44,112,"23,30","0,00%","3,3","20,22","6204,0"
"66 /a/i/stg/692,wpjslib_103.js",5,402,320,543,"81,60","0,00%","2,9","248,35","89008,0"
62 /desktop/js/index.min.js,5,281,249,343,"32,99","0,00%","3,1","159,77","52321,6"
71 /a/i/wiadomosci/favicon/favicon.ico,5,122,64,195,"46,73","0,00%","3,4","51,91","15425,0"
61 /s.css,5,609,478,756,"99,19","0,00%","2,5","369,85","149673,2"
73 /a/i/wiadomosci/rebrand/wp_w_wiadomosci.png,5,52,39,62,"7,76","0,00%","3,5","5,10","1476,0"
72 /a/i/wiadomosci/rebrand/wp_w.png,5,67,46,138,"35,31","0,00%","3,5","6,48","1872,0"
78 /a/f/jpeg/36110/kod_konstytucja2015_203.jpeg,5,88,61,133,"27,08","0,00%","3,8","51,25","13969,0"
77 /a/f/jpeg/36242/refugees_203.jpeg,5,80,64,113,"19,79","0,00%","3,9","44,78","11858,0"
76 /a/f/jpeg/36242/szyszko1_203.jpeg,5,72,43,93,"17,18","0,00%","3,9","26,98","7066,0"
79 /a/f/jpeg/35757/fotolia_urzednik_203.jpeg,5,59,41,91,"17,30","0,00%","3,9","23,64","6168,0"
82 /a/i/wiadomosci/2011/galeria_wideo.png,5,56,38,69,"10,40","0,00%","3,9","3,82","998,0"
93 /a/f/jpeg/36242/pawlowicz_grozi_tvn140.jpeg,5,54,46,64,"6,02","0,00%","4,0","33,17","8545,0"
100 /a/f/jpeg/36213/oobietnice_eastnews_140.jpeg,5,76,50,95,"19,50","0,00%","4,0","22,68","5793,0"
102 /a/f/jpeg/33619/boeing_katowice_airport_fb_140.jpeg,5,67,50,89,"13,42","0,00%","4,2","16,65","4101,0"
92 /a/f/jpeg/35573/wp_szelemej_andrzej_duda_140.jpeg,5,128,65,237,"66,45","0,00%","4,0","95,46","24281,0"
109 /bar.gif,5,49,35,72,"13,12","0,00%","4,8","2,99","642,0"
110 /a/f/jpeg/32086/rosja_flaga_pap_epa_arch_140.jpeg,5,74,57,97,"13,97","0,00%","4,8","35,94","7670,0"
